PLAYER,POS,HAND_LENGTH,HAND_WIDTH,HEIGHT,STANDING_REACH,WEIGHT,WINGSPAN
Michael Ajayi,SF,24.13,24.77,197.49,270.51,103.33,215.27
Melvin Ajinca,SF,21.59,24.77,201.30,270.51,96.98,201.93
Trey Alexander,SG,22.23,25.40,191.14,257.81,84.82,209.55
Izan Almansa,C,23.50,23.50,206.38,279.40,99.61,215.90
Reece Beekman,PG,21.59,22.86,186.06,254.00,89.09,199.39
Adem Bona,C,24.13,25.40,203.84,274.32,110.31,222.89
Trevon Brazile,PF,22.86,26.04,206.38,275.59,97.52,222.89
Jalen Bridges,SF,22.86,25.40,200.03,266.70,96.80,208.28
Matas Buzelis,SF,21.59,23.50,205.11,267.97,89.36,208.28
Carlton Carrington,PG,21.59,23.50,192.41,251.46,88.36,203.20
Devin Carter,SG,22.23,22.86,188.60,248.92,87.54,205.11
Stephon Castle,SG,22.23,22.23,196.85,259.08,95.25,205.74
Ulrich Chomche,C,23.50,26.04,208.92,276.86,105.41,223.52
Cam Christie,SG,20.32,20.32,194.31,257.81,86.36,203.20
Nique Clifford,SF,20.32,22.86,195.58,259.08,90.08,203.20
Donovan Clingan,C,25.40,26.04,217.81,292.10,127.91,230.51
Isaiah Collier,PG,21.59,22.86,189.23,247.65,92.80,194.95
Tristan Da Silva,PF,22.86,24.13,203.84,265.43,98.34,208.92
Pacome Dadiet,SF,21.59,22.86,202.57,273.05,98.34,205.74
N'Faly Dante,C,23.50,25.40,208.28,281.94,118.02,228.60
Robert Dillingham,PG,20.32,20.96,185.42,241.30,74.48,190.50
Nikola Djurisic,SF,21.59,25.40,200.66,260.35,94.71,203.20
Ryan Dunn,PF,22.86,24.77,198.76,261.62,96.89,217.17
Zach Edey,C,25.40,27.31,222.89,292.10,135.62,240.67
Justin Edwards,SF,22.23,22.23,198.12,260.35,94.98,208.28
Jesse Edwards,C,23.50,25.40,212.09,281.94,107.05,226.06
Boogie Ellis,PG-SG,22.86,24.13,184.79,248.92,83.91,200.66
Kyle Filipowski,PF,22.23,24.13,210.19,271.78,104.24,209.55
Trentyn Flowers,SF,22.23,24.13,199.39,255.27,91.35,203.84
Enrique Freeman,PF,22.23,25.40,201.30,274.32,96.16,218.44
Johnny Furphy,SF,20.32,24.13,201.93,265.43,85.64,203.20
Kyshawn George,SF,22.86,26.04,200.66,266.70,94.71,208.92
Tyon Grant-Foster,SF,22.23,23.50,197.49,264.16,97.61,212.73
PJ Hall,C,22.86,24.77,203.84,262.89,108.68,217.17
Coleman Hawkins,PF,22.23,22.23,203.84,271.78,97.61,213.36
Ron Holland II,SF,22.23,22.86,199.39,264.16,89.27,210.19
DaRon Holmes II,C,22.23,22.86,205.11,274.32,107.14,215.90
Ariel Hukporti,C,23.50,26.04,210.19,281.94,111.67,219.71
Oso Ighodaro,C,22.86,25.40,207.01,265.43,100.70,210.82
Harrison Ingram,SF,22.86,26.04,196.22,260.35,105.96,214.00
Bronny James,SG,21.59,24.13,186.69,250.19,95.44,201.30
AJ Johnson,SG,21.59,21.59,193.68,259.08,75.75,204.47
Keshad Johnson,PF,23.50,27.31,198.76,261.62,101.60,208.92
Dillon Jones,SF,22.86,23.50,194.31,255.27,107.41,210.82
David Jones,SF,21.59,24.13,191.77,254.00,95.80,200.03
Isaac Jones,C,23.50,26.04,202.57,274.32,106.59,220.98
Alex Karaban,PF,22.23,23.50,199.39,270.51,99.43,210.82
Bobi Klintman,PF,22.23,25.40,205.11,270.51,96.25,210.82
Dalton Knecht,SF,21.59,24.13,196.22,262.89,96.25,205.74
Tyler Kolek,PG,20.96,24.13,186.06,241.30,89.18,189.87
Pelle Larsson,SG,22.23,26.04,196.22,259.08,96.34,201.93
Jared McCain,SG,20.96,24.13,187.96,248.92,92.17,191.77
Kevin McCullar Jr.,SF,22.23,24.13,196.22,261.62,93.35,205.74
Yves Missi,C,24.13,25.40,210.19,278.13,104.05,218.44
Ajay Mitchell,PG,21.59,21.59,191.14,256.54,89.36,198.76
Jonathan Mogbo,PF,22.23,22.23,198.76,275.59,98.52,218.44
Tristen Newton,PG,21.59,22.86,191.14,254.00,87.00,200.03
Juan Nunez,PG,21.59,24.13,193.04,259.08,93.26,199.39
Quinten Post,C,23.50,25.40,213.36,284.48,110.86,219.71
Antonio Reeves,SG,22.86,25.40,194.31,255.27,84.64,203.84
Zaccharie Risacher,SF,21.59,22.23,204.47,271.78,88.27,207.01
Jaxson Robinson,SG,22.86,24.13,194.95,261.62,85.55,211.46
Tidjane Salaun,PF,21.59,24.77,205.11,279.40,98.61,217.17
Hunter Sallis,SG,20.32,24.13,191.77,255.27,81.37,207.65
Payton Sandfort,SF,21.59,22.86,198.76,264.16,96.16,203.20
Alexandre Sarr,C,22.86,25.40,212.73,279.40,101.70,224.16
Baylor Scheierman,SF,23.50,24.77,198.76,260.35,91.44,203.84
Mark Sears,PG,20.32,21.59,178.44,233.68,87.27,187.96
Terrence Shannon Jr.,SF,22.23,21.59,197.49,254.00,99.52,205.11
Jamal Shead,PG,20.96,22.23,183.52,243.84,91.08,190.50
Reed Sheppard,PG,19.69,22.86,187.33,237.49,82.37,191.14
KJ Simpson,PG,20.96,23.50,183.52,237.49,84.82,194.31
Tyler Smith,PF,21.59,22.86,205.74,266.70,101.51,215.90
Cam Spencer,SG,21.59,24.77,190.50,250.19,91.53,195.58
Nae'Qwan Tomlin,PF,22.86,25.40,203.84,276.86,92.99,219.71
